-26.92217857578923	-27.266450682333026
-26.852866166017982	-25.78823151689688
-26.600465812961044	-23.275421779790726
-25.60957635272378	-18.396659268978645
-24.338410862116802	-14.610736821214902
-22.912060567671507	-11.429904186472623
-19.777395664251046	-6.1676618639369165
-16.399803307926756	-1.852631661529297
-12.84551904072273	1.7734491549060818
-9.147568745638386	4.839353666719483
-5.338405734434708	7.471622410482007
-1.3938066916921636	9.575804892102473
6.774248619924392	12.696861931847415
15.315778504720914	14.36168321870779
24.265558797742745	14.434672334704622
33.72334106397067	12.526882332005835
44.01886530412089	7.3526053935823015
49.79160370488571	2.32858669208055
57.32797751826455	-9.572122224324419
