η_к_полн,π_к_полн,η_к_полн_0,π_к_полн_0,pi_rel_error,d1_отн,c_а1_отн,с_а_отн,Hт_ср_отн,H_т1,R_ср1,D_type,N_stupeney
0.8672130758942135,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.48999999999999994,0.1,0.15,0.5,D_ср_const,60
0.8672130743518625,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.48999999999999994,0.1,0.15266666666666667,0.5,D_ср_const,61
0.8672130662028316,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.48999999999999994,0.1,0.158,0.5,D_ср_const,61
0.867213063093286,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.48999999999999994,0.1,0.15,0.5,D_ср_const,61
0.8672130627468743,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.48999999999999994,0.10666666666666667,0.15,0.5,D_ср_const,57
0.8672130590389974,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.48999999999999994,0.1,0.15266666666666667,0.5,D_ср_const,61
0.8672130586288918,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.48999999999999994,0.10666666666666667,0.15266666666666667,0.5,D_ср_const,57
0.8672130510070016,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.5933333333333333,0.48,0.48999999999999994,0.1,0.158,0.5,D_ср_const,61
0.8672130504704884,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.6,0.48,0.48999999999999994,0.10666666666666667,0.158,0.5,D_ср_const,57
0.8672130491703207,18.2,0.8338097173818555,18.2,0.0,0.58,0.48,0.48999999999999994,0.1,0.15,0.5,D_ср_const,62
0.8672130473573646,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.48999999999999994,0.10666666666666667,0.15,0.5,D_ср_const,57
0.8672130452311704,18.200000000000003,0.8338097173818555,18.2,1.952040482857418e-16,0.58,0.48,0.48999999999999994,0.1,0.15266666666666667,0.5,D_ср_const,62
0.8672130432984096,18.2,0.8338097173818555,18.2,0.0,0.5933333333333333,0.48,0.48999999999999994,0.10666666666666667,0.15266666666666667,0.5,D_ср_const,57
0.8672130404239026,18.2,0.8338097173818555,18.2,0.0,0.6,0.48,0.48999999999999994,0.1,0.1753333333333333,0.5,D_ср_const,61
0.867213037427728,18.2,0.8338097173818555,18.2,0.0,0.58,0.48,0.48999999999999994,0.1,0.158,0.5,D_ср_const,62
